title,genre,release_time,time,screening_rat,director,num_staff,num_actor,movieNm,movieCd,openDt,audiAcc
2012,"[dict_values(['SF']), dict_values(['액션']), dict_values(['어드벤처'])]",20091112,157,12세이상관람가,롤랜드 에머리히,0,5,2012,20090685,2009-11-12,5395350.0
파르나서스 박사의 상상극장,"[dict_values(['판타지']), dict_values(['어드벤처']), dict_values(['미스터리'])]",20091223,122,12세이상관람가,테리 길리엄,0,6,파르나서스 박사의 상상극장,20090089,2009-12-23,453460.0
러브 매니지먼트,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20091231,93,15세이상관람가,스티븐 벨버,0,2,러브 매니지먼트,20090859,2009-12-31,9647.0
쏘우-여섯번의 기회,"[dict_values(['공포(호러)']), dict_values(['미스터리']), dict_values(['범죄'])]",20100107,90,청소년관람불가,케빈 그루터트,0,3,쏘우-여섯번의 기회,20090833,2010-01-07,5403.0
위대한 침묵,[dict_values(['다큐멘터리'])],20091203,168,전체관람가,필립 그로닝,0,0,위대한 침묵,20090840,2009-12-03,41604.0
포켓 몬스터 DP: 아르세우스 초극의 시공으로,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['판타지']), dict_values(['액션'])]",20091224,95,전체관람가,유야마 쿠니히코,0,1,포켓 몬스터 DP: 아르세우스 초극의 시공으로,20090860,2009-12-24,304135.0
나인,"[dict_values(['멜로/로맨스']), dict_values(['뮤지컬'])]",20091231,118,15세이상관람가,롭 마샬,0,4,나인,20090891,2009-12-31,479652.0
극장판파워레인저 엔진포스VS 와일드스피릿,"[dict_values(['SF']), dict_values(['액션'])]",20100107,50,전체관람가,모로타 사토시,0,7,극장판파워레인저 엔진포스VS 와일드스피릿,20090893,2010-01-07,120647.0
더 로드,"[dict_values(['SF']), dict_values(['드라마']), dict_values(['스릴러'])]",20100107,111,15세이상관람가,존 힐코트,0,3,더 로드,20090864,2010-01-07,166999.0
아빠가 여자를 좋아해,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100114,113,12세이상관람가,이광재,204,11,아빠가 여자를 좋아해,20090890,2010-01-14,145052.0
웨딩드레스,[dict_values(['드라마'])],20100114,110,전체관람가,권형진,175,20,웨딩드레스,20090892,2010-01-14,103878.0
앨빈과 슈퍼밴드2,"[dict_values(['가족']), dict_values(['코미디']), dict_values(['드라마'])]",20091230,88,전체관람가,베티 토머스,0,3,앨빈과 슈퍼밴드2,20090861,2009-12-30,584563.0
셜록 홈즈,"[dict_values(['미스터리']), dict_values(['범죄']), dict_values(['어드벤처'])]",20091223,128,12세이상관람가,가이 리치,0,2,셜록 홈즈,20090856,2009-12-23,2163155.0
8인: 최후의 결사단,"[dict_values(['액션']), dict_values(['사극'])]",20100121,138,15세이상관람가,진덕삼,0,5,8인: 최후의 결사단,20090916,2010-01-21,101166.0
공주와 개구리,"[dict_values(['애니메이션']), dict_values(['멜로/로맨스'])]",20100121,98,전체관람가,존 머스커,0,3,공주와 개구리,20090850,2010-01-21,73560.0
주문진,"[dict_values(['드라마']), dict_values(['멜로/로맨스']), dict_values(['판타지'])]",20100121,96,12세이상관람가,하명중,120,9,주문진,20090917,2010-01-21,61459.0
500일의 썸머,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20100121,95,15세이상관람가,마크 웹,0,4,500일의 썸머,20090683,2010-01-21,128784.0
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,"[dict_values(['공연']), dict_values(['다큐멘터리'])]",20100122,123,전체관람가,서태지,2,1,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,20100030,2010-01-22,16013.0
용서는 없다,"[dict_values(['범죄']), dict_values(['스릴러'])]",20100107,125,청소년관람불가,김형준,219,30,용서는 없다,20090888,2010-01-07,1114723.0
아스트로 보이-아톰의 귀환,"[dict_values(['애니메이션']), dict_values(['액션']), dict_values(['SF'])]",20100113,93,전체관람가,데이빗 보워스,0,7,아스트로 보이-아톰의 귀환,20090821,2010-01-13,392409.0
춤추는 꿈틀이 밴드,"[dict_values(['애니메이션']), dict_values(['가족']), dict_values(['코미디'])]",20100204,80,전체관람가,토마스 보르히 닐슨,0,3,춤추는 꿈틀이 밴드,20100011,2010-02-04,8578.0
